,question,equations,operation,answers
994,"Betty also bought 140 shiny blue round stones. If 14 pieces of this stone is in each bracelet, how many bracelets of blue shiny round stones will there be?",140/14=x,Division,10.0
995,"Brenda, Betty’s sister, wanted to have 3 bracelets with star-shaped stones. She also bought 36 star-shaped stones from the local store and gave it to Betty. How many star-shaped stones will there be in each of the bracelet Betty makes for Brenda?",3*x=36,Multiplication,12.0
996,"Shannon, Brenda’s neighbor, joined Brenda in making bracelets. She brought 48 heart-shaped stones and wanted to have 8 of this type of stone in each of the bracelet she makes. How many bracelets with heart-shaped stones can Shannon make?",48/8=x,Division,6.0
997,"Brenda’s mother made cookies for 5. If she prepared 35 cookies and each of them had the same number of cookies, how many did each of them have?",5*x=35,Multiplication,7.0
998,"Jane had been saving large empty cans to serve as pots for sunflowers. If she has 54 sunflower seeds and there are 9 cans, how many seeds will be placed in each can if she places an equal number of seeds in each can?",54/9=x,Division,6.0
999,"Jane’s mom picked cherry tomatoes from their backyard. If she gathered 56 cherry tomatoes and is about to place them in small jars which can contain 8 cherry tomatoes at a time, how many jars will she need?",56/8=x,Division,7.0
1000,"Jane helped her mom prepare fresh lemonade. If each glass needs 2 lemons, how many glasses of fresh lemonade can she make if they have 18 lemons?",2*x=18,Multiplication,9.0
1001,"For dessert, Jane’s mom prepared 12 pieces of bite-size cinnamon swirls. If the 3 of them ate an equal number of pieces of cinnamon swirls, how many pieces did Jane eat?",12/3=x,Division,4.0
1002,"Ellen had 380 legos, but Ellen lost 57 of them. How many legos does Ellen have now?",380-57=x,Subtraction,323.0
1003,Arthur baked 35 muffins. How many more muffins does Arthur have to bake to have 83 muffins?,35+x=83,Addition,48.0
1004,Willy has 1400 crayons. Lucy has 290 crayons. How many more crayons does Willy have then Lucy?,1400-290=x,Subtraction,1110.0
1005,"There are 10 stickers on a page. If you have 22 pages of stickers, how many stickers do you have?",10*22=x,Multiplication,220.0
1006,There are 96 cupcakes for 8 children to share. How much will each person get if they share the cupcakes equally?,96/8=x,Division,12.0
1007,Karen has 639 crayons. Cindy has 504 crayons. How many more crayons does Karen have than Cindy?,639-504=x,Subtraction,135.0
1008,Jose has 85 peanuts. Kenya has 48 more than Jose. How many peanuts does Kenya have?,85+48=x,Addition,133.0
1009,Lizette has 813 stamps. Lizette has 125 more stamps than Minerva. How many stamps does Minerva have?,813-125=x,Subtraction,688.0
1010,"White t-shirts can be purchased in packages of 6. If Mom buys 71 packages, how many white t-shirts will Mom have?",6*71=x,Multiplication,426.0
1011,"I have 648 pencils. If I put 4 pencils in each pencil box, how many pencil boxes will I fill?",648/4=x,Division,162.0
1012,"Uncle Dave bought 143 ice cream sandwiches. If he wants to give them to his 11 hungry nieces, how many can each niece get?",143/11=x,Division,13.0
1013,Megan had 217 markers. Robert gave her 109 more markers. How many markers does Megan have altogether?,217+109=x,Addition,326.0
1014,A DVD book holds 126 DVDs. There are 81 DVDs already in the book. How many more DVDs can be put in the book?,126-81=x,Subtraction,45.0
1015,Carla has some marbles. Carla bought 489 marbles. Now Calra has 2778 marbles all together. How many did Carla start with?,489+x=2778,Addition,2289.0
1016,Paco had 93 cookies. Paco ate 15 of them. How many cookies did Paco have left?,93-15=x,Subtraction,78.0
1017,Kelly has 121 Nintendo games. How many does Kelly need to give away so that Kelly will have 22 games left?,121-22=x,Subtraction,99.0
1018,Connie had some marbles. Connie gave 183 to Juan. Now Connie has 593 marbles left. How many did Connie have to start with?,x-183=593,Subtraction,776.0
1019,Connie has 2315 red markers and 1028 blue markers. How many markers does Connie have altogether?,2315+1028=x,Addition,3343.0
1020,Iesha has 344 books. 136 are about school and the rest are about sports. How many books about sports does Iesha have?,344-136=x,Subtraction,208.0
1021,James has 1222 balloons. Amy has 513 balloons. How many more balloons does James have than Amy?,1222-513=x,Subtraction,208.0
1022,Sean has 223 whistles. Sean has 95 more whistles than Charles. How many whistles does Charles have?,223-95=x,Subtraction,128.0
1023,Connie has 323 marbles. Juan has 175 more marbles than Connie. How many marbles does Juan have?,323+175=x,Addition,498.0
1024,Robin has 27 packages of gum. There are 18 pieces in each package. How many pieces of gum does Robin have?,27*18=x,Multiplication,486.0
1025,Adam has $5.00 to buy an airplane that costs $4.28. How much change will Adam get?,5.00-4.28=x,Subtraction,0.72
1026,"If each ball costs $1.54, how much must Kyoko pay for 3 balls?",1.54*3=x,Multiplication,4.62
1027,Mr. Guzman bought 48 doughnuts packed equally into 4 boxes. How many doughnuts were in each box?,48/4=x,Division,12.0
1028,The Sumata family took a 5 day vacation by car. Each day they drove 250 miles. How many total miles did they drive?,5*250=x,Multiplication,1250.0
1029,"One stamp costs 34 cents. If the cost of each stamp remains the same, how much would 4 stamps cost?",34*4=x,Multiplication,134.0
1030,The town of Milburg has 5256 grown-ups and 2987 children. How many people live in Milburg?,5256+2987=x,Addition,8243.0
1031,Lisa rented 4 DVDs for $4.80. How much did each DVD cost to rent?,4*x=4.80,Multiplication,1.2
1032,"There were 3409 pieces of candy in a jar. If 145 pieces were red and the rest were blue, how many were blue?",3409-145=x,Subtraction,3264.0
1033,"On Friday, 1250 people visited the zoo. 3 times as many people visited on Saturday than on Friday. How many people visited the zoo on Saturday?",1250*3=x,Multiplication,3750.0
1034,Students went to a concert in 8 buses. Each bus took 45 students. How many students went to the concert?,8*45=x,Multiplication,360.0
1035,There are 124 students making 3 stars each for the school wall. How many stars will they make all together?,124*3=x,Multiplication,372.0
1036,6 students were sitting at each table in the lunchroom. There are 34 tables. How many students were sitting in the lunchroom?,6*34=x,Multiplication,204.0
1037,Tyler had 15 dogs. Each dog had 5 puppies. How many puppies does Tyler now have?,15*5=x,Multiplication,75.0
1038,The farmer had 127 apples. The farmer gave 88 apples to his neighbor. How many apples does the farmer have now?,127-88=x,Subtraction,39.0
1039,Jill invited 37 people to her birthday party. They each ate 8 pieces of pizza. How many pieces of pizza did they eat?,37*8=x,Multiplication,296.0
1040,The Spurs basketball team has 22 players. Each player has 11 basketballs. How many basketballs do they have in all?,22*11=x,Multiplication,242.0
1041,Mrs. Hilt uses 2 ounces of detergent to wash a pound of clothes. How many ounces of soap will Mrs. Hilt use to wash 9 pounds of clothes?,2*9=x,Multiplication,18.0
1042,"Mrs. Hilt went to a concert. A total of 65899 people attended the concert. The next week, Mrs. Hilt went to a second concert, which had 119 more people in attendance. How many people were at the second concert?",65899+119=x,Addition,66018.0
1043,Mrs. Hilt needs to share $3.75 equally among 3 total people. How much money will each person get?,3.75/3=x,Division,1.25
1044,Mrs. Hilt has 40 markers. They are divided equally into 7 packages. Mrs. Hilt wants to know how many markers are in each package?,40/7=x,Division,5.0
1045,Mrs. Hilt read 4 books. Each book had 17 chapters in it. How many chapters did Mrs. Hilt read?,4*17=x,Multiplication,68.0
1046,Mrs. Hilt is baking bread. She needs 5 cups of flour to bake 2 loaves of bread. How much flour will she need to make one loaf of bread?,5/2=x,Division,2.5
1047,Mrs. Hilt saw 144 bees in the hive. The next day she saw 3 times that many. How many bees did she see on the second day?,144*3=x,Multiplication,432.0
1048,Mrs. Hilt measured the distance from her desk to the water fountain. It was 30 feet. How many feet will Mrs. Hilt walk on her trips to the fountain if she goes to the water fountain 4 times today?,30*4=x,Multiplication,120.0
1049,Lucy has an aquarium with 212 fish. Lucy wants to buy 68 more fish. How many fish would Lucy have then?,212+68=x,Addition,280.0
1050,Lucy has 212 fish. How many more fish does Lucy need to buy to have 280 fish?,212+x=280,Addition,68.0
1051,"Harry Hound had a terrible earache yesterday. When I peered into his ears yesterday, I found 36 frisky fleas having a party in his right ear and 85 baby fleas sleeping peacefully in his left ear. I cleaned out Harry Hound's ears. How many fleas perished?",36+85=x,Addition,121.0
1052,A pet supply store has 600 bags of dog food and 327 bags of cat food. How many more bags of dog food are there than cat food?,600-327=x,Subtraction,273.0
1053,David has 7 boxes of stuffed toy dogs. Each box has 4 dogs in it. How many dogs are there in all?,7*4=x,Multiplication,28.0
1054,532 people are watching a movie in a theater. The theater has 750 seats. How many seats are empty in the theater?,523+x=750,Addition,218.0
1055,Each bag contains 23 pounds of oranges. How many pounds of oranges are in 45 bags?,23*45=x,Multiplication,1035.0
1056,"The tallest player on the basketball team is 77.75 inches tall. This is 9.5 inches taller than the shortest player. How tall is the shortest player , in inches?",x=77.75-9.5,Subtraction,68.25
1057,Freeport McMoran projects the world grain supply will be 1800000 metric tons and the supply will be only 0.75 of the world grain demand. What will the world grain demand be?,1800000.0=0.75*x,Multiplication,2400000.0
1058,A 12 ounce can of cranberry juice sells for 84 cents. What is the cost in cents per ounce.,x=84.0/12.0,Division,7.0
1059,"If there are 7 bottle caps in a box and Linda puts 7 more bottle caps inside, how many bottle caps are in the box?",x=(7.0+7.0),Addition,14.0
1060,Jose starts with 7 bottle caps. He gets 2 more from Rebecca. How many bottle caps does Jose end with?,x=(7.0+2.0),Addition,9.0
1061,"Bridget has 4 Skittles. Henry has 4 Skittles. If Henry gives all of his Skittles to Bridget, how many Skittles will Bridget have?",x=(4.0+4.0),Addition,8.0
1062,Brenda starts with 7 Skittles. She buys 8 more. How many Skittles does Brenda end with?,x=(7.0+8.0),Addition,15.0
1063,There are 4 cards. 3 cards more are added. How many are there total?,x=(4.0+3.0),Addition,7.0
1064,There are 4 marbles. 7 marbles more are added. How many are there total?,x=(4.0+7.0),Addition,11.0
1065,There are 8 oranges. 8 oranges more are added. How many are there total?,x=(8.0+8.0),Addition,16.0
1066,Carol collects 2 peanuts. Carol's father gives Carol 5 more. How many peanuts does Carol have?,x=(2.0+5.0),Addition,7.0
1067,There are 9 cards. 4 cards more are added. How many are there total?,x=(9.0+4.0),Addition,13.0
1068,"If there are 7 bottle caps in a box and Linda puts 7 more bottle caps inside, how many bottle caps are in the box?",x=(7.0+7.0),Addition,14.0
1069,Bobby collects 2 blocks. Bobby's father gives Bobby 6 more. How many blocks does Bobby have?,x=(2.0+6.0),Addition,8.0
1070,Peter starts with 8 erasers. Bridget gives Peter 3 more. How many erasers does Peter end with?,x=(8.0+3.0),Addition,11.0
1071,"If there are 7 crayons in a box and Gerald puts 6 more crayons inside, how many crayons are in the box?",x=(7.0+6.0),Addition,13.0
1072,"Michelle has 2 crayons. Janet has 2 crayons. If Janet gives all of her crayons to Michelle, how many crayons will Michelle have?",x=(2.0+2.0),Addition,4.0
1073,Anna collects 6 blocks. Anna's father gives Anna 8 more. How many blocks does Anna have?,x=(6.0+8.0),Addition,14.0
